scramble,orientation,cross,corner_fr,corner_fl,corner_bl,corner_br,edge_fr,edge_fl,edge_bl,edge_br,EO,CO,CP,ep,total_moves
F B R F2 R F R B F U' R F2 U' F D U2 R2 F2 D R F' R B,x2,R' D B' F' D2 R',R2 F2 R2 F2,L2 B L2 B',U' F U F',F' U F,U F2 D2 B D2 F2,F2 D' U L2 D,L' U2 B' U' B U2 L,B U B2 D' R2 D B,B' R' U' R U B,F U2 F' U' F U' F',U,L2 U' B F' L2 B' F U' L2,69
L' F2 R D2 L B2 L B' F2 R B F L U' D2 F2 D2 L' F' L B2,x2,B L' R U L2 B' F',B' R' U R2 B R',B' R U2 R' B,U F2 L F2 L',F D2 B' D2 F',,R2 D U B D' U' R2,F L F L' U' F',,L U F U' F' L',B U' F' U B' U' F,R2 B2 R F R' B2 R F' R,F2 U B2 L2 U' R2 F2 L2 D' R2 U' F2,75
F L' D' L' U2 F2 D2 B2 R D' B2 L2 R U2 L2 U' F2 B2 R' U' B,x2,R U B2 D R2 B,U' R2 B' R2 B,B' R U2 R' B,L' U' L,R2 B' R' B U2 R',B' U' L' B L B,U' L2 U2 L' U2 L2,,,B' R' U' R U B,F R B R' F' R B' R',R2 F2 R' B' R F2 R' B R' U,R2 U' B' F R2 B F' U' R2,70
L2 D' U2 L U B F D R' D' L' D R B2 U R2 L2 B2 D2 L' R2 F,x2,F D' B' L' F' R',R2 B' R2 B,L F' U2 F L',F U2 F',F D2 B' D2 F',R' B' R' B U R,R2 D U B D' U' R2,L B2 D F2 D' B2 L',R U' R U2 F R2 F' U2 R2,R U B U' B' R',R B R' F R B' R' F',U L2 F2 L B L' F2 L B' L,F2 U B2 L2 U' R2 F2 L2 D' R2 U' F2,88
U' B2 L R2 F' U' D2 B F R2 F' U2 R2 L' D B' D L' F' U R' D2 U' B2,x2,B2 F D' F,R' U' R,B' R U2 R' B,L' B' U2 B L,,U' L2 D2 R' D2 L2,B' U2 R' U2 R U2 B,U' B2 D2 F D2 B2,R U' R U2 F R2 F' U2 R2,R U B U' B' R',R B L' B' R' B L B',R2 F2 R' B' R F2 R' B R' U,B2 U L' R B2 L R' U B2,78
B U B2 U2 B U2 F' R D2 L' R' D2 B' D U2 F' U D L2 D' F R2 B2 L' B2,x2,L D2 B L F D,R' B' R2 B U' R,L F' U2 F L',L' U L,F' U' F,R' B' R' B U R,R2 D U B D' U' R2,U' B2 D2 F D2 B2,R' U2 B' R' B U2 R,R B U B' U' R',R' U' R U' R' U2 R,L' B L' F2 L B' L' F2 L2 U,F2 U L R' F2 L' R U F2,81
B U R D2 U' L2 B' L F B' R2 F' D' L R2 U2 B' U2 L B' R' D2 L' D R,x2,L2 R' F' D L' D,,B' R U' R' B,L' U2 L,R2 D B2 D' R2,,L B L B' U' L',B2 D2 F' D2 B2,B U B2 D' R2 D B,R B U B' U' R',R U R' U R U2 R',R2 U R2 U R2 U2 B L B' R2 B L' B',F2 U' L R' F2 L' R U' F2,72
D' B R2 D2 L R2 B U' L2 U' L2 U2 F' D L2 R' F' U2 D' R' D U,x2,B' D' B' L2 B L' F',R' U' R,R' B2 R B2 R,U' F U F',R U' R',R' B' R' B U R,L2 D U' F2 D',L' U2 B' U' B U2 L,L F2 U F' U' F2 L',,R B L' B' R' B L B',B' R B' L2 B R' B' L2 B2,B2 U L' R B2 L R' U B2,73
L2 U2 L F' U' R' U L2 R B' D L U D' B L2 R2 B' D B L U2 D' B,x2,D' B' D R,B U' B',B' U' B,U' F U F',F' U' F,R2 D' U F2 D,L' D2 B' R B D2 L,B2 D2 F' D2 B2,,B' R' U' R U B,B' U2 B U B' U B,B' R B' L2 B R' B' L2 B2,L2 F2 D2 R2 B F D2 L2 B F,66
B R L' F' R2 D F' D U R' U2 R' U F' D2 F' L B F' D2 L2,x2,D L2 U' B' R F,U R' U' R,B' U B,F U F',R B' R B R2,L2 D2 R' D2 L2,R2 D U B D' U' R2,B2 D2 F' D2 B2,R' U2 B' R' B U2 R,F' U2 F R B2 L' B' L U2 B' R',F' U2 F2 U F2 U F2 U2 F',R2 F2 R' B' R F2 R' B R' U,F2 U B2 L2 U' R2 F2 L2 D' R2 U' F2,87
B' U F2 B U2 R U B' F D2 L' D L B2 R D' U' F U L U,x2,R B2 R F L',F R' F2 U' F R,L2 F2 L2 F2,L' B' U2 B L,R B' R B R2,U' L2 D2 R' D2 L2,F2 D' U L2 D,B2 D2 F2 D2 B2,L' B2 D' R D B2 L,R B U B' U' R',F' U B U' F U B',R2 F2 R' B' R F2 R' B R' U,B2 U L' R B2 L R' U B2,80
F U' L2 F2 L' U' B2 F U2 L' U' B2 D B2 L2 D L2 F' B' D2 U F',x2,L D R2 B L' F',U' R2 B' R2 B,L2 F2 L2 F2,,U F' U' F,U' L2 D2 R' D2 L2,,U' B2 D2 F D2 B2,,,R U2 R2 U' R2 U' R2 U2 R,U L2 F2 L B L' F2 L B' L,F2 U B2 L2 U' R2 F2 L2 D' R2 U' F2,62
R D2 L2 D2 B L' U F D' L2 R2 D' B' F2 D L2 B' D2 B' D',x2,F' R' B' D' B2 R,R' U R,B' U' F U2 B F',U F2 L F2 L',R U2 R',,L2 D U' F2 D',L' U2 B' U' B U2 L,L' B2 D' R D B2 L,,B' U' B U' B' U2 B,B2 U B2 L' B R D B' D' L B R' B',L2 F2 D2 R2 B F D2 L2 B F,72
D' B D' U2 L U' L2 R U2 D2 F B' R D2 B2 R2 L B' R2 F',x2,D' U L F' R' B D2,L R' U L' R,,U' F U F',F' U' F,L2 D2 R D2 L2,L2 D U' F2 D',B2 D2 F' D2 B2,B L2 D F' D' L2 B',L' U' B' U B L,B U B' U B U F' U B' U' F,U' R B' R F2 R' B R F2 R2,L2 U B F' L2 B' F U L2,77
B2 D2 B U L2 D2 F2 D2 R2 U' L D2 F' R' F2 U2 F R2 L' U B' F,x2,R F' U L2 B2,B L' U2 L B',B' F U2 F' U B,L' U L,,U L2 D2 R' D2 L2,F2 D' U L2 D,L2 B2 D2 R' D2 B2 L2,R' U2 B' R2 B U2 R,B' R' U' R U B,B U' F' U B' U' F,B2 U B2 L' B R D B' D' L B R' B',L2 F2 D2 R2 B F D2 L2 B F,80
F R2 B' F L2 U2 B2 F R' L2 D' F R' L D2 U' L2 D2 L F L,x2,R2 D2 R2 D' L',B2 R B2 R',B' U' B,F U F',F' U F,R2 D' U F2 D,R2 D U B D' U' R2,L B2 D F2 D' B2 L',L F2 U F' U' F2 L',F' U2 F R B2 L' B' L U2 B' R',F U2 F' U' F U' F',U R B' R F2 R' B R F2 R2,F2 U L R' F2 L' R U F2,81
D2 B F' U' D' F' L2 D2 L2 D' U' B2 R' D' U2 R2 L D' L' U',x2,D B2 L' D' F' L,R' U2 R,R' B2 R B2 R,U2 F U' F',R2 D B2 D' R2,L2 D' L U L' B' D L2,L2 D U' F2 D',F L F L' U' F',B' R2 U' R U R2 B,,F2 R2 F L2 F' R2 F L2 F,B2 R2 B' L' B R2 B' L B',L2 U B F' L2 B' F U L2,76
U' D F R2 L2 F2 D' B' U R' B' L' U L D2 L R F2 D' R2 D2 R L B F2,x2,B D2 B R B D,R' U2 R,L U L',U2 F2 L F2 L',U F' U' F,F2 D2 U2 B2 D2,B2 R B2 R2 B' U' R B R,L' U2 B' U2 B U2 L,B U B2 D' R2 D B,,B' U2 B U B' U B,B' R B' L2 B R' B' L2 B2,R2 U' B' F R2 B F' U' R2,74
F2 R' D L R2 B U2 L' U2 L' U2 D R2 L B D2 L' B L' U D' B' U',x2,L F2 D B L' F' D,R2 B' R2 B,B' R U' R' B,L' R U L R',F D2 B' D2 F',L2 D' L U L' B' D L2,B' U2 R' U' R U2 B,U' B2 D2 F D2 B2,,R U B U' B' R',F U' B' U F' U' B,U B L' B R2 B' L B R2 B2,L2 U' B F' L2 B' F U' L2,79
R' F R F L' U F' R2 B R2 U2 F2 R L2 F R L' B D B R,x2,L D2 B' L2 D L,R U R2 U2 R,L F' U2 F L',L' R U L R',R2 B' R' B U2 R',L2 D2 R D2 L2,R2 D U B D' U' R2,B D F L F2 D' B' U' L',,,F R B R' F' R B' R',R2 F2 R' B' R F2 R' B R',F2 U L R' F2 L' R U F2,74
B F D B F' L2 U' F B' L D F' D2 R' D' U' F R' U' L B F D2,x2,L' D2 L' D L2,F R' U2 R F',B' U B,F U' F',R U R',L2 D2 R D2 L2,B2 R B2 R2 B' U' R B R,B D F L F2 D' B' U' L',R U' R U2 F R2 F' U2 R2,R' U' F' U F R,B L F L' B' L F' L',R2 B2 R F R' B2 R F' R,F2 U B2 L2 U' R2 F2 L2 D' R2 U' F2,86
R2 F2 R B2 R2 B2 U R' F D2 F2 U2 D' L2 R D' L R' D U2,x2,B2 F R' F' D' B,B U' B',L U L',L' B' U2 B L,R B' R B R2,L2 D' U B2 D,U' L2 U2 L' U2 L2,B2 D2 F D2 B2,R' U2 B' R' B U2 R,B' R' U' R U B,F R F' L F R' F' L',,F2 U' L R' F2 L' R U' F2,68
L2 B D L2 R' D2 B R' B' F' D' B2 R2 L' F' L B' L D L2 B F' D R L',x2,U R F2 L D' F',L R' U L' R,L2 B L2 B',F2 L F2 L',R' D2 L D2 R,U' F2 D2 B D2 F2,B' U2 R' U2 R U2 B,B D F L F2 D' B' U' L',B' R2 U' R U R2 B,B' R' U' R U B,F2 R2 F L2 F' R2 F L2 F,U',L2 U B F' L2 B' F U L2,78
F' R2 U D' B2 U R2 D' U' B' R2 U D' B' R F2 L' B2 D F L,x2,L2 B' R2 F D2,R2 F2 R2 F2,L U' L',L' U L,R U R',R' B' R' B U R,,L' U2 B' U2 B U2 L,B L2 D F' D' L2 B',L' U' B' U B L,R' U' R U' R' U2 R,U R B' R F2 R' B R F2 R2,L2 F2 D2 R2 B F D2 L2 B F,71
R' U B' L B' D L' D B' R' D2 R' F2 B L2 B2 R B D2 L' F' B2 U R2,x2,L' D R F',B' R' U R2 B R',L U2 L',L' U B' U2 B L,R U2 B' R B R2,B2 U2 B' U2 B2,B2 R B2 R2 B' U' R B R,B2 D2 F' D2 B2,R' U2 B' R B U2 R,R U B U' B' R',R U2 R2 U' R2 U' R2 U2 R,L' B L' F2 L B' L' F2 L2,L2 F2 D2 R2 B F D2 L2 B F,85
D L B U2 F' U2 F L2 F U2 F2 D' L D B2 D' B2 F2 L U,x2,R2 D' L' B2 R',B U B',L2 B L2 B',F U2 F',R2 B' R' B U2 R',B' U' L' B L B,B2 D' R B U' B' D B2,B2 D2 F' D2 B2,R' U2 B' R B U2 R,R B U B' U' R',R B' R' F R B R' F',F R' F L2 F' R F L2 F2,B2 U' L' R B2 L R' U' B2,79
B R2 L B' D B2 L2 D B F2 D F' R' U' L F2 B U F' B2 D2 F2 B',x2,F R2 B D' R B',R2 F2 R2 F2,L' U2 L2 U' L',F U2 F',F' U F,L2 D' U B2 D,B2 R B2 R2 B' U' R B R,U B2 D2 F D2 B2,R' U2 B' R' B U2 R,F' U2 F R B2 L' B' L U2 B' R',R B R' F R B' R' F',F R' F L2 F' R F L2 F2,B2 U L' R B2 L R' U B2,85
U F D' B' U F' B' R2 L B2 L U L2 D U R U2 D2 F2 D,x2,U2 L D' R2 B F,B U2 B',L2 B L2 B',U' F U F',R U2 R',L2 D2 R' D2 L2,B' U2 R' U' R U2 B,L B2 D F2 D' B2 L',R' U2 B' R B U2 R,B' R' U' R U B,F2 R2 F L2 F' R2 F L2 F,U R B' R F2 R' B R F2 R2,B2 U' L' R B2 L R' U' B2,80
R' D' R2 U' L U' F R' U2 F R U' D2 F2 L2 B' R B' D' U2 L2 R',x2,F' D L B D B,R' U' R,R' B2 R B2 R,L' R U L R',R2 B' R' B U2 R',F2 D2 U2 B2 D2,,B D F L F2 D' B' U' L',B L2 D F' D' L2 B',F' U2 F R B2 L' B' L U2 B' R',B2 D F' L2 F D' B' U2 B',U B2 L2 B R B' L2 B R' B,F2 U' L R' F2 L' R U' F2,85
U' B' D2 F D' B2 D2 B L' F B D' U' B U B2 R' D2 F' B2 L2,x2,R2 B D2 R B',B U B',L' U2 L2 U' L',U F2 L F2 L',U F' U' F,U F2 D2 B D2 F2,L2 D U' F2 D',,R' U2 B' R2 B U2 R,R' U' F' U F R,B L F L' B' L F' L',U B2 L2 B R B' L2 B R' B,F2 U L R' F2 L' R U F2,73
L2 D' R2 L2 F B' D' B' U2 L' D2 B' U B U' D2 L2 B2 F D,x2,D' B2 R2 B F D,U R' U2 R,B' F U2 F' U B,,R' D2 L D2 R,F2 D2 U2 B2 D2,U' L2 U2 L' U2 L2,U' B2 D2 F D2 B2,B L2 D F' D' L2 B',,F U' B' U F' U' B,U' R B' R F2 R' B R F2 R2,F2 U B2 L2 U' R2 F2 L2 D' R2 U' F2,74
B D R2 F' D' U2 R' F2 B' U' B' R' L' D R2 B R B' F2 L U2 L2,x2,U2 L2 D' L' R',B F' U' B' F,L2 B L2 B',L' U2 L,F' U' F,U L2 D2 R' D2 L2,R2 D2 L D2 R2,B D F L F2 D' B' U' L',R' U2 B' R' B U2 R,R' U' F' U F R,R U R' U R U2 R',L' B L' F2 L B' L' F2 L2,R2 U B' F R2 B F' U R2,78
D2 U' L F' U2 R' B L F' L U R2 L' F L' R2 F' B2 R U' R B' L2 B U,x2,U2 B2 F2 D' F',B L' U2 L B',B' U B,L' U L,U F' U2 F,U F2 D2 B D2 F2,B2 D' R B U' B' D B2,,,R' U' F' U F R,B U2 B2 U' B2 U' B2 U2 B,B' R B' L2 B R' B' L2 B2,L2 U R2 B2 U' F2 L2 B2 D' F2 U' L2,70
D F' U2 L' F' L' D' B' F' R' B2 R' D' F' D B2 F U R2 U D' R' D' R',x2,R D U B2 L2 F' R',B U2 B',U2 B' U B,F2 L F2 L',F' U' F,U F2 D2 B D2 F2,B2 R B2 R2 B' U' R B R,L B2 D F2 D' B2 L',B L2 D F' D' L2 B',R B U B' U' R',B U B' U B U F' U B' U' F,U B2 L2 B R B' L2 B R' B,F2 U' L R' F2 L' R U' F2,86
U D R' L D L2 U' D F U' R D L R' F' U' D' B D' L2 R2,x2,D2 L2 D B D,F R' U2 R F',L U2 L',L' U' L,R U2 R',U' F2 D2 B D2 F2,B2 D' R B U' B' D B2,L B2 D F2 D' B2 L',R' U2 B' R B U2 R,L U F U' F' L',B U' F' U B' U' F,B' R B' L2 B R' B' L2 B2,L2 U R2 B2 U' F2 L2 B2 D' F2 U' L2,81
U R2 U2 L2 F2 D' R U' B' F2 R L B F2 R U2 F R2 U' R2 B' R2,x2,D' L2 F' L' B',B U2 B',,R' F R2 U R' F',F' U' F,L2 D' L U L' B' D L2,U' L2 U2 L' U2 L2,B2 D2 F D2 B2,B' R2 U' R U R2 B,,,R2 U R2 U R2 U2 B L B' R2 B L' B',,56
F' R' L2 B2 U' F2 R2 D' U R B2 F L' D B R2 L2 U B' U' L,x2,R' B' L' F D B D,R' B' R2 B U' R,B' U B,F2 L F2 L',R2 D B2 D' R2,F2 D2 U2 B2 D2,,B D F L F2 D' B' U' L',B' R2 U' R U R2 B,L U F U' F' L',F' U2 F2 U F2 U F2 U2 F',L F' L B2 L' F L B2 L2,R2 U B' F R2 B F' U R2,79
L2 B R2 D2 L' F U L U2 L R2 D R2 L' B2 D L D2 L2 U F2 D L2,x2,L2 F' D R' B F2,B U B',U2 B' U B,F U' F',U F' U' F,U' L2 D2 R' D2 L2,B' U2 R' U' R U2 B,U B2 D2 F D2 B2,R' U2 B' R B U2 R,R B U B' U' R',B U' F' U B' U' F,R2 B2 R F R' B2 R F' R,B2 U' L' R B2 L R' U' B2,77
U L' R' D R' U2 L' F' L D' F2 D' U' B2 L' F' R2 F U2 L' D' B',x2,U L2 R2 B L' D',L R' U L' R,B' U' B,L' U' L,R2 B' R' B U2 R',U' L2 D2 R' D2 L2,R2 D U B D' U' R2,U' B2 D2 F D2 B2,B' R2 U' R U R2 B,R' U' F' U F R,R U2 R2 U' R2 U' R2 U2 R,R D' F2 R2 U' L F2 L' U R2 F2 D R',B2 U L' R B2 L R' U B2,86
R B U2 R U2 B' D' R D' B R' B2 D' L' U2 D2 R' F U2 L' U' L F2,x2,L' D2 B' D' F' L,R U R2 U2 R,B' U2 B,L' U L,F' U2 F,B2 U2 B' U2 B2,L2 D U' F2 D',B2 D2 F' D2 B2,R U' R U2 F R2 F' U2 R2,,F R B R' F' R B' R',B2 U B2 L' B R D B' D' L B R' B',R2 U' B' F R2 B F' U' R2,74
F2 D2 L U' R' L2 F2 L' U2 B D' R F U D2 R' F' B U' L' F' B',x2,R' F L' D B2,R2 F2 R2 F2,L U2 L',U' F U F',,L2 D2 R' D2 L2,B2 R B2 R2 B' U' R B R,L' U2 B' U' B U2 L,R' U2 B' R B U2 R,R B U B' U' R',,U B L' B R2 B' L B R2 B2,F2 U B2 L2 U' R2 F2 L2 D' R2 U' F2,72
U F' B' U' F D F' D L2 D' F L2 U2 R F2 R D2 R2 B L D' F' B' U B',x2,F2 D' F R,B2 R B2 R',B' R U2 R' B,L' U2 L,F' U F,U L2 D2 R' D2 L2,L B L B' U' L',B2 D2 F' D2 B2,B U B2 D' R2 D B,L' U' B' U B L,R B R' F R B' R' F',U B L' B R2 B' L B R2 B2,F2 U B2 L2 U' R2 F2 L2 D' R2 U' F2,79
U' L2 B2 U2 B F' R F2 U D2 F' B U' R F' U D' L R' F2 D U,x2,D2 B' R' D' L' B D',B' U' B2 U2 B',B' U B,F2 L F2 L',,B2 U2 B' U2 B2,B2 R B2 R2 B' U' R B R,L2 B2 D2 R' D2 B2 L2,R' U2 B' R' B U2 R,R B U B' U' R',R B R' F R B' R' F',U B2 L2 B R B' L2 B R' B,,71
U2 D' L2 U F2 L D B R2 F2 R' U2 L2 F2 L B' D U L' D2 R2 B2 R F2 D,x2,D2 B' D' B D R',B U' B',B' R U' R' B,,R' D2 L D2 R,L2 D' B L U' L' U B2 D,,B2 D2 F D2 B2,R' U2 B' R2 B U2 R,R' U' F' U F R,B2 D F' L2 F D' B' U2 B',U' L2 F2 L B L' F2 L B' L,F2 U' L R' F2 L' R U' F2,74
F' L B U' B D2 R L2 F B' D L2 D F2 R F R' F D' R' F,x2,B' F D' L B F2,R' B' R2 B R,B' R' U2 R B,L' U' L,R U R',B2 U2 B U2 B2,U' L2 U2 L' U2 L2,L' U2 B' U2 B U2 L,B U B2 D' R2 D B,L U F U' F' L',F U2 F' U' F U' F',L F' L B2 L' F L B2 L2,L2 U R2 B2 U' F2 L2 B2 D' F2 U' L2,81
D' L2 D B' D U' F' B2 U' F2 U2 D' F' D R' B' D' L2 R U2 D L2 F D,x2,B' D F' D B L,B' U' B2 U2 B',B' R U2 R' B,F' U2 F2 U' F',R U2 B' R B R2,L2 D' B L U' L' U B2 D,U' L2 U2 L' U2 L2,F L F L' U' F',R' U2 B' R B U2 R,,R2 D' L F2 L' D R U2 R,U' L2 F2 L B L' F2 L B' L,L2 U' B F' L2 B' F U' L2,83
R' D2 L2 F R B2 D' L2 B2 R2 L' B D2 R L F D B D B2 F R' U D,x2,F L B2 R F',B' U' B2 U2 B',B' U B,L' R U L R',R U2 B' R B R2,U F2 D2 B D2 F2,U L2 U2 L' U2 L2,B2 D2 F' D2 B2,B' R2 U' R U R2 B,R' U' F' U F R,F U' B' U F' U' B,,R2 U B' F R2 B F' U R2,70
R' U R2 U F B2 U' D F' B2 R' L2 B' F' U' B' R2 L' U' L2 R',x2,R U B2 L2 F' D,F R' F2 U' F R,L2 B L2 B',L' R U L R',R2 D B2 D' R2,U' F2 D2 B D2 F2,B2 D' R B U' B' D B2,,L' B2 D' R D B2 L,,B U2 B2 U' B2 U' B2 U2 B,B2 R2 B' L' B R2 B' L B',,65
U2 R2 F' B2 L2 R F U2 R2 F' L F R U R' L2 F2 D' F' R B' F' D2 B,x2,D L' R' B' F' D2,F R' F2 U' F R,L U L',U F2 L F2 L',F' U2 F,F2 D2 U2 B2 D2,U L2 U2 L' U2 L2,,R' U2 B' R2 B U2 R,R U B U' B' R',F R F' L F R' F' L',U R B' R F2 R' B R F2 R2,L2 U' B F' L2 B' F U' L2,74
U B2 U' R' F2 R2 U F2 U' B2 U2 R2 F' L' F2 D2 B R' L F',x2,D2 U B' L' R2 D2 B,B2 R B2 R',L U L',R' F R2 U R' F',F D2 B' D2 F',L2 D' L U L' B' D L2,B2 R B2 R2 B' U' R B R,L' U2 B' U' B U2 L,B L2 D F' D' L2 B',R' U' F' U F R,B' U' B U' B' U2 B,R2 F2 R' B' R F2 R' B R',R2 U B' F R2 B F' U R2,87
B2 D' F' L2 F2 L B U2 D2 F U' B F R U' F' U R' F B D2 R L',x2,U L2 D' R D' B',B U' B',B' R U' R' B,U F2 L F2 L',R2 D B2 D' R2,U F2 D2 B D2 F2,F2 D' U L2 D,B D F L F2 D' B' U' L',L F2 U F' U' F2 L',F' U2 F R B2 L' B' L U2 B' R',R U2 R2 U' R2 U' R2 U2 R,U' L2 F2 L B L' F2 L B' L,B2 U' L' R B2 L R' U' B2,90
U' D' F' L2 B' L B2 R' U' L R2 B U2 B R F' L' U' F' B2 R B' L2,x2,D L2 B F,B F' U' B' F,R' B2 R B2 R,F U F',F' U2 F,L2 D' B L U' L' U B2 D,U' L2 U2 L' U2 L2,L' U2 B' U2 B U2 L,,L' U' B' U B L,R B L' B' R' B L B',B' R B' L2 B R' B' L2 B2,L2 F2 D2 R2 B F D2 L2 B F,75
L2 D' L D U L2 U F' B2 L2 D2 U2 R' L D2 F2 R2 D F2 R' B D2 R2 D2 U',x2,D' U' B2 R F,R' U2 R,B' U' B,L' U' L,R2 D B2 D' R2,L2 D' L U L' B' D L2,B2 R B2 R2 B' U' R B R,B2 D2 F2 D2 B2,L F2 U F' U' F2 L',R B U B' U' R',L2 B2 L' F2 L B2 L' F2 L',L' B L' F2 L B' L' F2 L2 U,,73
R' F2 D' B' F2 U' R2 U' R2 F U D2 B2 F' D2 R' B' L' U' D' L2,x2,L2 B2 R B' D R2,R' U2 R,B' F U B F',F U2 F',U F' U2 F,B2 U2 B' U2 B2,B2 R B2 R2 B' U' R B R,B2 D2 F2 D2 B2,B' R2 U' R U R2 B,,B L F' L' B' L F L',,L2 U R2 B2 U' F2 L2 B2 D' F2 U' L2,67
F2 L R2 F R' U' F' B2 D' B2 D' B2 F2 D2 B' L' F' B' U' R',x2,F L D2 B F D2,R' B' R2 B U' R,U B' U' B,,U F' U2 F,L2 D2 R' D2 L2,B2 D' R B U' B' D B2,L' U2 B' U2 B U2 L,L F2 U F' U' F2 L',F' U2 F R B2 L' B' L U2 B' R',R2 D' L F2 L' D R U2 R,U L2 F2 L B L' F2 L B' L,L2 U R2 B2 U' F2 L2 B2 D' F2 U' L2,89
D2 R' F' L' F B D' B' D2 R F2 D R' D U' L' F D' U' R2,x2,L B R' F' D L',F R' F2 U' F R,B' U B,L' U L,R U2 B' R B R2,U F2 D2 B D2 F2,F2 D' U L2 D,F L F L' U' F',B L2 D F' D' L2 B',F' U2 F R B2 L' B' L U2 B' R',L U2 L2 U' L2 U' L2 U2 L,U' R B' R F2 R' B R F2 R2,L2 U R2 B2 U' F2 L2 B2 D' F2 U' L2,90
U2 L' F D' U B D' L B U2 F2 U2 R F2 L B U2 L R' U D' R L2 B' R2,x2,D B D2 L' D B,R' B' R2 B R,L' U2 L2 U' L',U2 F2 L F2 L',,U' F2 D2 B D2 F2,B2 R B2 R2 B' U' R B R,B2 D2 F D2 B2,L F2 U F' U' F2 L',L' U' B' U B L,R B' R' F R B R' F',L' B L' F2 L B' L' F2 L2 U,F2 U' L R' F2 L' R U' F2,81
F2 B' U' F' D' L' D' B U' B2 U D' B L2 R2 U2 F2 U L' F' D' L D,x2,L' F D' B' D' L2,R' B' R2 B U' R,B' R' U2 R B,L' U L,R' D2 L D2 R,B2 U2 B U2 B2,R2 D2 L' D2 R2,,B' R2 U' R U R2 B,L U F U' F' L',R' U' R U' R' U2 R,L F' L B2 L' F L B2 L2,B2 U L' R B2 L R' U B2,73
D U2 L2 U' R F' D2 F2 D2 F2 U F2 U F B R' B D' B2 R D2 F2 R L',x2,R' U L' B D,L R' U L' R,L2 B L2 B',F U F',R2 B' R' B U2 R',,B2 D' R B U' B' D B2,B2 D2 F D2 B2,B U B2 D' R2 D B,R U B U' B' R',L F' L' B L F L' B',R2 F2 R' B' R F2 R' B R' U,F2 U' L R' F2 L' R U' F2,76
B' D R2 L U' D2 F' D' B2 D U F' R' U2 B' F R' B U' D,x2,D2 R B' F D',,L F' U2 F L',U2 F2 L F2 L',R U' R',U' F2 D2 B D2 F2,B' U2 R' U2 R U2 B,B2 D2 F2 D2 B2,R' U2 B' R B U2 R,L U F U' F' L',B' U2 B F' D F2 U F2 D' L2 F,B2 U B2 L' B R D B' D' L B R' B',F2 U L R' F2 L' R U F2,82
F2 D' B2 L F' L2 B2 L B R' B2 R U' F2 R2 D R U' F R2 F2 B2,x2,U' B D2 L' B2,R' B' R2 B R,B' F U B F',L' U B' U2 B L,,U L2 D2 R' D2 L2,B2 D' R B U' B' D B2,B2 D2 F2 D2 B2,R' U2 B' R B U2 R,,F2 R2 F L2 F' R2 F L2 F,B' R B' L2 B R' B' L2 B2,B2 U L' R B2 L R' U B2,74
D2 L D R' L' D' U F D' R D R U D' B2 U2 F2 U2 B2 L2,x2,L D' B D' F2,B F' U' B' F,B' R' U2 R B,L' U L,F D2 B' D2 F',U' F2 D2 B D2 F2,L2 D U' F2 D',L' U2 B' U2 B U2 L,L' B2 D' R D B2 L,L' U' B' U B L,L F' L' B L F L' B',B2 R2 B' L' B R2 B' L B',F2 U B2 L2 U' R2 F2 L2 D' R2 U' F2,83
U' R' L2 B' U B2 F L2 B' U' L2 B L2 B' D F B' D L2 F2,x2,D' B D' F' L D',B U B',L U' L',F U' F',R B' R B R2,F2 D2 U2 B2 D2,B2 R B2 R2 B' U' R B R,B2 D2 F2 D2 B2,B U B2 D' R2 D B,L U F U' F' L',L2 B2 L' F2 L B2 L' F2 L',U',L2 U B F' L2 B' F U L2,71
R' L U B2 D' R' F R' L2 B R2 F2 D2 R' D L D2 U' F2 U,x2,B R F' D2 R2 D R,U' R2 B' R2 B,B' F U B F',U F2 L F2 L',,R2 D' U F2 D,F2 D' U L2 D,L B2 D F2 D' B2 L',R' U2 B' R2 B U2 R,F' U2 F R B2 L' B' L U2 B' R',B' U' B U' B' U2 B,U R B' R F2 R' B R F2 R2,R2 U' B' F R2 B F' U' R2,83
F' D2 F2 U D' F' D' R2 U L' R' U B2 F' L2 U' R L F2 U' D' L' B,x2,D' B2 U F R',B L' U2 L B',B' U' B,U' F U F',U F' U2 F,L2 D2 R D2 L2,R2 D U B D' U' R2,F L F L' U' F',B L2 D F' D' L2 B',B' R' U' R U B,L F' L' B L F L' B',,F2 U B2 L2 U' R2 F2 L2 D' R2 U' F2,72
B U B' R D U F' R' U L' F2 L2 B U' L2 R' B L' U F2 B U B L B,x2,R' U2 B2 U L2 F',B F' U' B' F,L U' L',F U' F',U F' U' F,L2 D2 R' D2 L2,B' U2 R' U2 R U2 B,F L F L' U' F',B' R2 U' R U R2 B,R' U' F' U F R,B' U2 B F' D F2 U F2 D' L2 F,L' B L' F2 L B' L' F2 L2,L2 U B F' L2 B' F U L2,81
D2 F' D U B U2 B' D B L2 B2 L F' U' D2 R2 L2 F2 R' D2 U' B,x2,B U' L2 F2,F R' F2 U' F R,,,F D2 B' D2 F',L2 D2 R D2 L2,L B L B' U' L',F L F L' U' F',L' B2 D' R D B2 L,F' U2 F R B2 L' B' L U2 B' R',R' U' R U' R' U2 R,L B L' F' D L D' B' L' F L2 U' L2,F2 U B2 L2 U' R2 F2 L2 D' R2 U' F2,82
